BirthRate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,LifeExpectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,InfantMortalityRate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.30%,,,Below Threshold,"$1,088 ",1.5-3%,68,Friendly,Kosovo,,,1545,$0 ,$2B,,,,,,,70,66,,1,,,,1.7M,,Europe,,,12/1/2000
0.90%,,6241,Below Threshold,"$3,309 ",Below 1.5%,71,Very Friendly,Latvia,,,3832,$0 ,$8B,6.00%,$197 ,,1.50%,6%,0.119,76,65,17%,1,18%,67%,0.15,2.4M,68.10%,Europe,$0B,$0B,12/1/2000
1.30%,,,Below Threshold,"$75,058 ",Below 1.5%,77,Not Clustered,Liechtenstein,,,,"$75,008 ",$2B,,,,,37%,,80,74,30%,1,,,,0.0M,15.10%,Europe,,,12/1/2000
1.00%,,12200,Below Threshold,"$3,267 ",Below 1.5%,73,Very Friendly,Lithuania,,,7131,$0 ,$11B,6.50%,$212 ,,1.00%,6%,0.121,78,67,15%,1,20%,66%,0.139,3.5M,67.00%,Europe,$0B,$0B,12/1/2000
1.30%,,8240,Below Threshold,"$46,453 ",Below 1.5%,78,Friendly,Luxembourg,,,3335,"$42,192 ",$20B,7.50%,"$3,495 ",,0.40%,23%,,81,75,70%,1,19%,67%,0.141,0.4M,84.20%,Europe,$2B,$1B,12/1/2000
1.30%,,12064,Below Threshold,"$1,748 ",Below 1.5%,74,Very Friendly,"Macedonia, FYR",,,2668,$0 ,$4B,8.70%,$153 ,,1.40%,3%,0.189,76,71,6%,1,22%,68%,0.1,2.1M,58.50%,Europe,$0B,$0B,12/1/2000
1.20%,,2065,Below Threshold,"$10,377 ",Below 1.5%,78,Friendly,Malta,,,676,"$9,376 ",$4B,6.60%,$643 ,,0.70%,13%,0.073,80,76,28%,1,21%,69%,0.107,0.4M,92.40%,Europe,$1B,$0B,12/1/2000
1.20%,,3513,Below Threshold,$354 ,Below 1.5%,67,Friendly,Moldova,,,2883,$0 ,$1B,6.70%,$24 ,,2.50%,1%,0.338,71,63,3%,1,24%,66%,0.1,3.6M,45.80%,Europe,$0B,$0B,12/1/2000
,,,Below Threshold,"$82,537 ",Above 3%,,Not Clustered,Monaco,,,,"$79,696 ",$3B,3.30%,"$2,685 ",,0.40%,42%,,,,43%,1,,,,0.0M,100.00%,Europe,,,12/1/2000
1.30%,,,Below Threshold,"$1,610 ",Below 1.5%,74,Very Friendly,Montenegro,,,,$0 ,$1B,7.50%,$121 ,,1.30%,,,77,71,,1,21%,67%,0.113,0.6M,58.50%,Europe,,,12/1/2000
1.30%,,165363,Below Threshold,"$24,180 ",Below 1.5%,79,Very Friendly,Netherlands,,,73223,"$23,440 ",$385B,8.00%,"$1,932 ",,0.50%,44%,0.048,81,76,68%,1,19%,68%,0.136,15.9M,76.80%,Europe,$11B,$14B,12/1/2000
1.30%,,38808,Below Threshold,"$37,473 ",Below 1.5%,79,Very Friendly,Norway,,,26092,"$32,816 ",$168B,9.10%,"$3,432 ",,0.40%,52%,0.089,81,76,72%,1,20%,65%,0.152,4.5M,76.10%,Europe,$3B,$5B,12/1/2000
1.00%,,301691,Below Threshold,"$4,477 ",Below 1.5%,74,Very Friendly,Poland,,,89116,$0 ,$171B,5.50%,$247 ,,0.80%,7%,0.2,78,70,18%,1,19%,68%,0.123,38.3M,61.70%,Europe,$6B,$3B,12/1/2000
1.20%,,62966,Below Threshold,"$11,399 ",Below 1.5%,77,Very Friendly,Portugal,,,24673,"$9,376 ",$117B,9.30%,"$1,070 ",,0.60%,16%,,80,73,65%,1,16%,68%,0.162,10.3M,54.40%,Europe,$6B,$3B,12/1/2000
1.00%,,89985,Below Threshold,"$1,662 ",Below 1.5%,72,Friendly,Romania,,,36228,$0 ,$37B,4.30%,$72 ,,2.30%,4%,0.539,75,68,11%,1,19%,68%,0.134,22.4M,53.00%,Europe,$0B,$0B,12/1/2000
0.90%,,1558112,Below Threshold,"$1,772 ",Below 1.5%,66,Moderate,Russian Federation,,,619265,$0 ,$260B,5.40%,$96 ,,2.00%,2%,0.244,72,59,2%,1,18%,69%,0.124,146.6M,73.40%,Europe,$3B,$9B,12/1/2000
,,,Below Threshold,"$28,696 ",Above 3%,81,Friendly,San Marino,,,,"$28,128 ",$1B,5.30%,"$2,161 ",,0.50%,49%,0.092,84,77,54%,1,,,,0.0M,93.40%,Europe,,,12/1/2000
1.00%,,,Below Threshold,$809 ,Below 1.5%,73,Friendly,Serbia,,,13728,$0 ,$6B,7.40%,$51 ,,1.10%,,0.063,75,70,,1,20%,67%,0.129,7.5M,53.20%,Europe,,,12/1/2000
1.00%,,37312,Below Threshold,"$5,330 ",Below 1.5%,73,Very Friendly,Slovak Republic,,,17743,"$4,688 ",$29B,5.50%,$208 ,,1.00%,9%,0.149,77,69,23%,1,20%,69%,0.114,5.4M,56.20%,Europe,$0B,$0B,12/1/2000
0.90%,,14265,Below Threshold,"$10,045 ",Below 1.5%,76,Very Friendly,Slovenia,,,6413,"$9,376 ",$20B,8.30%,$831 ,,0.50%,15%,0.158,79,72,61%,1,16%,70%,0.141,2.0M,50.80%,Europe,$1B,$1B,12/1/2000
1.00%,,294434,Below Threshold,"$14,414 ",Below 1.5%,80,Very Friendly,Spain,,,121856,"$14,064 ",$580B,7.20%,"$1,045 ",,0.50%,14%,0.052,83,76,60%,1,15%,68%,0.169,40.3M,76.30%,Europe,$33B,$8B,12/1/2000
1.00%,,49794,Below Threshold,"$27,869 ",Below 1.5%,80,Very Friendly,Sweden,,,47556,"$23,440 ",$247B,8.20%,"$2,282 ",,0.30%,46%,0.058,82,77,72%,1,18%,64%,0.173,8.9M,84.00%,Europe,$5B,$9B,12/1/2000
1.10%,,39050,Below Threshold,"$35,639 ",Below 1.5%,80,Very Friendly,Switzerland,,,25005,"$32,816 ",$256B,9.90%,"$3,541 ",,0.50%,47%,0.043,83,77,65%,1,17%,67%,0.153,7.2M,73.30%,Europe,$9B,$7B,12/1/2000
2.10%,,216148,Below Threshold,"$4,220 ",1.5-3%,70,Friendly,Turkey,,,76348,$0 ,$267B,4.90%,$196 ,,3.40%,4%,,74,66,26%,1,31%,63%,0.06,63.2M,64.70%,Europe,$8B,$2B,12/1/2000
0.80%,,320774,Below Threshold,$636 ,Below 1.5%,68,Moderate,Ukraine,,,133794,$0 ,$31B,5.60%,$36 ,,1.60%,1%,0.415,74,62,2%,1,18%,69%,0.138,49.2M,67.10%,Europe,$1B,$1B,12/1/2000
1.20%,,543662,Below Threshold,"$25,362 ",Below 1.5%,78,Very Friendly,United Kingdom,,,222940,"$23,440 ","$1,494B",7.00%,"$1,761 ",,0.60%,27%,0.06,80,75,74%,1,19%,65%,0.158,58.9M,78.70%,Europe,$30B,$47B,12/1/2000
2.10%,,18643,Below Threshold,"$13,563 ",1.5-3%,75,Very Friendly,Bahrain,,,5865,"$9,376 ",$9B,3.50%,$476 ,,1.10%,6%,0.116,76,74,31%,1,31%,67%,0.024,0.7M,88.40%,Middle East,$1B,$0B,12/1/2000
1.90%,,372703,Below Threshold,"$1,537 ",1.5-3%,70,Low,"Iran, Islamic Rep.",,,122983,$0 ,$101B,4.60%,$231 ,,2.90%,1%,,71,69,2%,1,35%,61%,0.042,65.9M,64.00%,Middle East,$1B,$1B,12/1/2000
3.60%,,72445,Below Threshold,,Above 3%,71,Low,Iraq,,,25937,,,0.80%,$7 ,,3.60%,,,73,69,,1,43%,54%,0.035,23.8M,68.50%,Middle East,$0B,$0B,12/1/2000
2.20%,,62691,Below Threshold,"$19,859 ",1.5-3%,79,Very Friendly,Israel,,,18234,"$18,752 ",$125B,7.40%,"$1,454 ",,0.60%,21%,0.128,81,77,73%,1,28%,62%,0.1,6.3M,91.20%,Middle East,$5B,$4B,12/1/2000
3.10%,,15508,Below Threshold,"$1,763 ",Above 3%,72,Moderate,Jordan,,,4864,$0 ,$8B,9.70%,$171 ,,2.30%,3%,0.118,73,70,8%,1,39%,58%,0.031,4.8M,79.80%,Middle East,$1B,$0B,12/1/2000
2.40%,,55181,Below Threshold,"$19,787 ",1.5-3%,73,Moderate,Kuwait,,,18805,"$18,752 ",$38B,2.50%,$494 ,,1.10%,7%,0.089,74,72,25%,1,26%,71%,0.031,1.9M,98.10%,Middle East,$0B,$3B,12/1/2000
1.90%,,15354,Below Threshold,"$5,335 ",1.5-3%,75,Moderate,Lebanon,,,4907,"$4,688 ",$17B,10.90%,$579 ,,1.70%,8%,0.182,76,73,23%,1,29%,64%,0.071,3.2M,86.00%,Middle East,$1B,,12/1/2000
2.40%,,21896,Below Threshold,"$9,062 ",1.5-3%,72,Very Friendly,Oman,,,8083,"$4,688 ",$20B,3.10%,$264 ,,1.40%,4%,0.101,74,70,7%,1,37%,61%,0.023,2.2M,71.60%,Middle East,$0B,$1B,12/1/2000
1.90%,,34730,Below Threshold,"$29,914 ",1.5-3%,77,Very Friendly,Qatar,,,10876,"$28,128 ",$18B,2.20%,$652 ,,1.10%,5%,,78,76,20%,1,26%,72%,0.017,0.6M,96.30%,Middle East,$0B,$0B,12/1/2000
2.70%,,296935,Below Threshold,"$9,354 ",1.5-3%,73,Very Friendly,Saudi Arabia,,,101325,"$4,688 ",$188B,4.20%,$398 ,,1.90%,2%,,74,71,7%,1,38%,58%,0.035,20.1M,79.80%,Middle East,,,12/1/2000
3.00%,,51048,Below Threshold,"$1,180 ",Above 3%,74,Low,Syrian Arab Republic,,,15765,$0 ,$19B,4.90%,$59 ,,2.00%,0%,0.09,75,72,0%,1,41%,56%,0.034,16.4M,51.90%,Middle East,$1B,$1B,12/1/2000
1.70%,,112562,Below Threshold,"$34,476 ",1.5-3%,74,Very Friendly,United Arab Emirates,,,33944,"$32,816 ",$104B,2.20%,$752 ,,1.00%,24%,0.097,75,73,47%,1,25%,74%,0.01,3.0M,80.20%,Middle East,$1B,$3B,12/1/2000
3.90%,,14639,Below Threshold,$550 ,Above 3%,61,Moderate,"Yemen, Rep.",,,4747,$0 ,$10B,4.10%,$25 ,,6.90%,0%,0.195,62,59,0%,1,49%,49%,0.029,17.5M,26.30%,Middle East,$0B,$0B,12/1/2000
,,,Below Threshold,,Above 3%,,Not Clustered,American Samoa,,,,,,,,,,,,,,4%,1,,,,0.1M,88.60%,Oceania,,,12/1/2000
1.30%,,329605,Below Threshold,"$21,678 ",Below 1.5%,80,Very Friendly,Australia,,,108110,"$18,752 ",$415B,8.10%,"$1,713 ",,0.50%,47%,0.093,82,77,45%,1,21%,67%,0.124,19.2M,87.20%,Oceania,$13B,$9B,12/1/2000
2.50%,,865,Below Threshold,"$2,075 ",1.5-3%,68,Friendly,Fiji,,,,$0 ,$2B,3.90%,$80 ,,2.10%,2%,0.084,70,65,7%,1,35%,62%,0.034,0.8M,47.90%,Oceania,$0B,$0B,12/1/2000
2.00%,,631,Below Threshold,"$14,530 ",1.5-3%,73,Not Clustered,French Polynesia,,,,"$14,064 ",$3B,,,,,6%,,75,70,17%,1,32%,64%,0.043,0.2M,56.10%,Oceania,,,12/1/2000
2.20%,,,Below Threshold,,1.5-3%,76,Not Clustered,Guam,,,,,,,,,,16%,,78,73,18%,1,31%,64%,0.054,0.2M,93.10%,Oceania,,,12/1/2000
2.90%,,33,Below Threshold,$815 ,1.5-3%,65,Moderate,Kiribati,,,,$0 ,$0B,7.90%,$65 ,,5.40%,2%,,68,62,0%,1,40%,57%,0.034,0.1M,43.00%,Oceania,$0B,,12/1/2000
,,77,Above Threshold,"$2,127 ",Above 3%,66,Moderate,Marshall Islands,,,,$0 ,$0B,22.50%,$466 ,,3.40%,2%,,68,63,1%,1,,,,0.1M,68.40%,Oceania,$0B,$0B,12/1/2000
3.00%,,136,Below Threshold,"$2,171 ",Above 3%,68,Low,"Micronesia, Fed. Sts.",,,,$0 ,$0B,7.80%,$170 ,,4.20%,4%,0.153,68,67,,1,40%,56%,0.037,0.1M,22.30%,Oceania,$0B,$0B,12/1/2000
2.10%,,2299,Below Threshold,"$12,580 ",1.5-3%,75,Not Clustered,New Caledonia,,,,"$9,376 ",$3B,,,,,14%,,78,72,24%,1,29%,65%,0.059,0.2M,61.80%,Oceania,$0B,,12/1/2000
1.50%,,32897,Below Threshold,"$13,483 ",1.5-3%,79,Very Friendly,New Zealand,,,17056,"$9,376 ",$52B,7.60%,"$1,052 ",,0.60%,47%,0.078,81,76,40%,1,23%,66%,0.118,3.9M,85.70%,Oceania,$2B,$1B,12/1/2000
3.50%,,2688,Below Threshold,$655 ,Above 3%,59,Moderate,Papua New Guinea,,,,$0 ,$4B,4.00%,$26 ,,5.80%,1%,0.175,61,57,0%,1,40%,57%,0.025,5.4M,13.20%,Oceania,$0B,$0B,12/1/2000
3.10%,,139,Below Threshold,"$1,373 ",Above 3%,70,Friendly,Samoa,,,,$0 ,$0B,6.00%,$80 ,,1.90%,1%,,73,66,1%,1,41%,55%,0.045,0.2M,22.00%,Oceania,$0B,,12/1/2000
3.60%,,165,Below Threshold,"$1,055 ",Above 3%,63,Friendly,Solomon Islands,,,,$0 ,$0B,4.60%,$48 ,,2.80%,1%,0.146,64,62,0%,1,42%,55%,0.028,0.4M,15.80%,Oceania,$0B,$0B,12/1/2000
2.80%,,121,Below Threshold,"$1,925 ",1.5-3%,71,Friendly,Tonga,,,,$0 ,$0B,4.80%,$92 ,,1.50%,2%,0.113,73,69,0%,1,38%,56%,0.057,0.1M,23.00%,Oceania,$0B,,12/1/2000
3.20%,,81,Below Threshold,"$1,470 ",Above 3%,68,Friendly,Vanuatu,,,,$0 ,$0B,3.60%,$52 ,,2.00%,2%,0.099,69,66,0%,1,42%,55%,0.033,0.2M,21.70%,Oceania,$0B,$0B,12/1/2000
2.00%,,345,Below Threshold,"$10,144 ",1.5-3%,74,Friendly,Antigua and Barbuda,,,,"$9,376 ",$1B,4.00%,$408 ,,1.40%,7%,0.122,76,71,28%,1,29%,64%,0.071,0.1M,32.10%,The Americas,$0B,$0B,12/1/2000
1.90%,,141077,Below Threshold,"$9,329 ",1.5-3%,74,Moderate,Argentina,,,60954,"$4,688 ",$344B,9.20%,$710 ,,1.80%,7%,0.111,78,70,18%,1,28%,62%,0.099,36.9M,89.10%,The Americas,$3B,$5B,12/1/2000
1.40%,,2233,Below Threshold,"$20,620 ",Below 1.5%,74,Not Clustered,Aruba,,,,"$18,752 ",$2B,,,,,15%,0.121,76,71,17%,1,23%,69%,0.076,0.1M,46.70%,The Americas,$1B,$0B,12/1/2000
1.80%,,1668,Below Threshold,"$21,251 ",1.5-3%,72,Friendly,"Bahamas, The",,,,"$18,752 ",$6B,5.20%,"$1,107 ",,1.30%,8%,0.06,75,69,11%,1,29%,65%,0.054,0.3M,82.00%,The Americas,$2B,$0B,12/1/2000
1.30%,,1188,Below Threshold,"$11,675 ",Below 1.5%,73,Friendly,Barbados,,,,"$9,376 ",$3B,6.30%,$602 ,,1.50%,4%,0.102,75,71,11%,1,22%,67%,0.115,0.3M,33.80%,The Americas,$1B,$0B,12/1/2000
2.90%,,689,Below Threshold,"$3,486 ",1.5-3%,71,Moderate,Belize,,,,$0 ,$1B,4.00%,$139 ,,2.10%,6%,0.16,74,67,7%,1,40%,56%,0.043,0.2M,47.70%,The Americas,$0B,$0B,12/1/2000
1.40%,,495,Below Threshold,"$56,284 ",Below 1.5%,78,Not Clustered,Bermuda,,,,"$56,256 ",$3B,,,,,43%,,81,75,21%,1,,,,0.1M,100.00%,The Americas,$0B,,12/1/2000
3.10%,,10224,Below Threshold,$989 ,Above 3%,63,Low,Bolivia,,,3737,$0 ,$8B,6.10%,$60 ,,5.70%,1%,0.346,65,61,7%,1,40%,56%,0.042,8.5M,61.80%,The Americas,$0B,$0B,12/1/2000
2.10%,,327984,Below Threshold,"$3,694 ",1.5-3%,71,Moderate,Brazil,,,187442,$0 ,$645B,7.20%,$265 ,,2.90%,3%,0.568,74,67,13%,1,30%,65%,0.055,174.5M,81.20%,The Americas,$2B,$5B,12/1/2000
1.10%,,534484,Below Threshold,"$24,032 ",Below 1.5%,80,Very Friendly,Canada,,,251450,"$23,440 ",$739B,8.80%,"$2,090 ",,0.50%,51%,0.073,82,77,28%,1,19%,68%,0.125,30.8M,79.50%,The Americas,$13B,$15B,12/1/2000
,,455,Below Threshold,,Above 3%,,Not Clustered,Cayman Islands,,,,,,,,,,,,,,26%,1,,,,0.0M,100.00%,The Americas,$1B,,12/1/2000
1.70%,,58694,Below Threshold,"$5,133 ",1.5-3%,77,Very Friendly,Chile,,,25174,"$4,688 ",$79B,7.70%,$390 ,,0.90%,17%,0.148,80,74,22%,1,28%,65%,0.072,15.5M,86.10%,The Americas,$1B,$1B,12/1/2000
2.30%,,57924,Below Threshold,"$2,504 ",1.5-3%,71,Very Friendly,Colombia,,,25814,$0 ,$100B,5.90%,$148 ,,2.10%,2%,0.188,75,67,6%,1,33%,62%,0.047,39.9M,72.10%,The Americas,$1B,$1B,12/1/2000
2.00%,,5475,Below Threshold,"$4,058 ",1.5-3%,78,Moderate,Costa Rica,,,2874,$0 ,$16B,7.10%,$287 ,,1.10%,6%,0.249,80,75,5%,1,32%,63%,0.055,3.9M,59.00%,The Americas,$1B,$1B,12/1/2000
1.30%,,26039,Below Threshold,"$2,744 ",Below 1.5%,77,Not Clustered,Cuba,,,12859,$0 ,$31B,6.10%,$166 ,,0.70%,1%,,79,75,0%,1,22%,69%,0.099,11.1M,75.30%,The Americas,$2B,,12/1/2000
,,,Below Threshold,,Above 3%,,Not Clustered,Curacao,,,,,,,,,,,,,,,1,25%,65%,0.103,0.1M,90.80%,The Americas,$0B,,12/1/2000
,,103,Below Threshold,"$4,657 ",Above 3%,,Friendly,Dominica,,,,$0 ,$0B,5.00%,$231 ,,1.40%,9%,0.117,,,2%,1,,,,0.1M,65.30%,The Americas,$0B,$0B,12/1/2000
2.50%,,20117,Below Threshold,"$2,770 ",1.5-3%,71,Moderate,Dominican Republic,,,7499,$0 ,$24B,6.30%,$173 ,,3.30%,4%,0.268,74,68,8%,1,35%,60%,0.051,8.7M,61.70%,The Americas,$3B,$0B,12/1/2000
2.50%,,20942,Below Threshold,"$1,462 ",1.5-3%,74,Moderate,Ecuador,,,7815,$0 ,$18B,3.60%,$53 ,,2.80%,2%,0.171,76,71,4%,1,35%,60%,0.051,12.5M,60.30%,The Americas,$0B,$0B,12/1/2000
2.50%,,5743,Below Threshold,"$2,204 ",1.5-3%,70,Moderate,El Salvador,,,3968,$0 ,$13B,8.10%,$179 ,,2.70%,1%,0.14,74,65,13%,1,38%,56%,0.055,6.0M,58.90%,The Americas,$0B,$0B,12/1/2000
1.60%,,532,Below Threshold,"$19,004 ",1.5-3%,67,Not Clustered,Greenland,,,,"$18,752 ",$1B,,,,,32%,,70,64,27%,1,,,,0.1M,81.60%,The Americas,,,12/1/2000
1.90%,,191,Below Threshold,"$5,149 ",1.5-3%,71,Moderate,Grenada,,,,"$4,688 ",$1B,6.60%,$339 ,,1.40%,4%,0.116,73,68,4%,1,35%,57%,0.078,0.1M,35.90%,The Americas,$0B,$0B,12/1/2000
3.70%,,9916,Below Threshold,"$1,722 ",Above 3%,68,Friendly,Guatemala,,,7041,$0 ,$19B,5.60%,$96 ,,4.00%,1%,0.209,71,64,8%,1,44%,52%,0.04,11.2M,45.10%,The Americas,$0B,$0B,12/1/2000
2.20%,,1610,Below Threshold,$957 ,1.5-3%,64,Moderate,Guyana,,,,$0 ,$1B,5.80%,$56 ,,3.90%,7%,0.173,67,60,5%,1,35%,60%,0.045,0.7M,28.70%,The Americas,$0B,$0B,12/1/2000
3.10%,,1368,Below Threshold,$427 ,Above 3%,58,Low,Haiti,,,2010,$0 ,$4B,6.10%,$26 ,,7.50%,0%,0.314,59,56,1%,1,40%,56%,0.04,8.6M,35.60%,The Americas,$0B,$0B,12/1/2000
3.20%,,5031,Below Threshold,"$1,140 ",Above 3%,71,Moderate,Honduras,,,2990,$0 ,$7B,6.60%,$76 ,,3.10%,1%,0.268,73,68,3%,1,42%,54%,0.039,6.2M,45.50%,The Americas,$0B,$0B,12/1/2000
2.10%,,10319,Below Threshold,"$3,479 ",1.5-3%,71,Friendly,Jamaica,,,3829,$0 ,$9B,5.50%,$189 ,,2.00%,3%,0.233,73,68,14%,1,33%,60%,0.075,2.6M,51.80%,The Americas,$2B,$0B,12/1/2000
2.40%,,381518,Below Threshold,"$6,582 ",1.5-3%,75,Very Friendly,Mexico,,,145384,"$4,688 ",$684B,5.10%,$328 ,,2.20%,5%,0.169,77,72,14%,1,34%,61%,0.049,103.9M,74.70%,The Americas,$9B,$6B,12/1/2000
2.80%,,3762,Below Threshold,"$1,001 ",1.5-3%,70,Moderate,Nicaragua,,,2522,$0 ,$5B,5.40%,$54 ,,3.30%,1%,0.181,72,67,2%,1,41%,55%,0.037,5.1M,54.70%,The Americas,$0B,$0B,12/1/2000
2.40%,,5790,Below Threshold,"$3,804 ",1.5-3%,76,Friendly,Panama,,,2569,$0 ,$12B,7.80%,$295 ,,2.20%,7%,0.105,78,73,13%,1,32%,62%,0.055,3.1M,62.20%,The Americas,$1B,$0B,12/1/2000
2.80%,,3689,Below Threshold,"$1,532 ",1.5-3%,70,Moderate,Paraguay,,,3850,$0 ,$8B,8.10%,$124 ,,2.80%,1%,0.268,72,68,15%,1,38%,57%,0.044,5.4M,55.30%,The Americas,$0B,$0B,12/1/2000
2.40%,,30297,Below Threshold,"$1,949 ",1.5-3%,71,Very Friendly,Peru,,,12222,$0 ,$51B,4.70%,$96 ,,3.00%,3%,0.3,73,68,5%,1,34%,61%,0.048,26.0M,73.00%,The Americas,$1B,$1B,12/1/2000
1.60%,,,Below Threshold,"$16,192 ",1.5-3%,77,Very Friendly,Puerto Rico,,,,"$14,064 ",$62B,,,,,11%,,81,73,35%,1,24%,65%,0.113,3.8M,94.40%,The Americas,$2B,$1B,12/1/2000
,,,Below Threshold,,Above 3%,,Not Clustered,Sint Maarten (Dutch part),,,,,,,,,,,,,,,1,,,,0.0M,100.00%,The Americas,$1B,$0B,12/1/2000
,,103,Below Threshold,"$9,146 ",Above 3%,,Friendly,St. Kitts and Nevis,,,,"$4,688 ",$0B,4.30%,$392 ,,1.40%,6%,0.111,,,3%,1,,,,0.0M,32.80%,The Americas,$0B,$0B,12/1/2000
2.00%,,330,Below Threshold,"$4,871 ",1.5-3%,72,Friendly,St. Lucia,,,,"$4,688 ",$1B,5.60%,$272 ,,1.50%,5%,0.131,73,70,2%,1,32%,60%,0.076,0.2M,27.80%,The Americas,$0B,$0B,12/1/2000
1.70%,,,Below Threshold,,1.5-3%,77,Not Clustered,St. Martin (French part),,,,,,,,,,,,80,74,,1,,,,0.0M,,The Americas,,,12/1/2000
2.00%,,158,Below Threshold,"$3,684 ",1.5-3%,71,Friendly,St. Vincent and the Grenadines,,,,$0 ,$0B,3.70%,$137 ,,1.90%,3%,0.115,73,68,2%,1,31%,62%,0.069,0.1M,45.20%,The Americas,$0B,$0B,12/1/2000
2.30%,,2127,Below Threshold,"$1,912 ",1.5-3%,68,Low,Suriname,,,,$0 ,$1B,8.70%,$167 ,,3.00%,3%,0.29,71,65,9%,1,31%,64%,0.057,0.5M,66.40%,The Americas,$0B,$0B,12/1/2000
1.50%,,24514,Below Threshold,"$6,431 ",1.5-3%,69,Friendly,Trinidad and Tobago,,,10854,"$4,688 ",$8B,4.00%,$260 ,,2.50%,8%,0.165,72,65,13%,1,26%,68%,0.065,1.3M,10.80%,The Americas,$0B,$0B,12/1/2000
,,15,Below Threshold,,Above 3%,,Not Clustered,Turks and Caicos Islands,,,,,,,,,,,,,,,1,,,,0.0M,84.60%,The Americas,$0B,,12/1/2000
1.40%,,5713560,Below Threshold,"$36,467 ",Below 1.5%,77,Very Friendly,United States,,,2273332,"$32,816 ","$10,290B",13.60%,"$4,790 ",,0.70%,43%,0.092,79,74,39%,1,21%,66%,0.124,282.2M,79.10%,The Americas,$121B,$91B,12/1/2000
1.60%,,5306,Below Threshold,"$6,873 ",1.5-3%,75,Friendly,Uruguay,,,3092,"$4,688 ",$23B,11.20%,$773 ,,1.50%,11%,0.461,78,71,12%,1,25%,62%,0.131,3.3M,92.00%,The Americas,$1B,$0B,12/1/2000
2.40%,,152415,Below Threshold,"$4,800 ",1.5-3%,73,Low,"Venezuela, RB",,,56424,"$4,688 ",$117B,5.70%,$273 ,,1.80%,3%,0.252,75,70,22%,1,34%,62%,0.046,24.4M,88.00%,The Americas,$0B,$2B,12/1/2000
1.40%,,,Below Threshold,,Below 1.5%,77,Not Clustered,Virgin Islands (U.S.),,,,,,,,,,14%,,80,73,32%,1,26%,66%,0.086,0.1M,92.60%,The Americas,$1B,,12/1/2000
1.90%,,84293,Below Threshold,"$1,703 ",1.5-3%,70,Low,Algeria,,,27072,$0 ,$55B,3.80%,$65 ,,3.30%,1%,0.095,71,68,0%,1,33%,63%,0.04,32.2M,60.70%,Africa,$0B,$0B,12/1/2001
5.00%,,9732,Below Threshold,$621 ,Above 3%,46,Low,Angola,,,7883,$0 ,$9B,5.80%,$36 ,,12.70%,0%,0.96,47,45,1%,1,48%,50%,0.025,14.4M,33.20%,Africa,$0B,$0B,12/1/2001
4.20%,,1738,Below Threshold,$348 ,Above 3%,56,Low,Benin,,,2109,$0 ,$2B,4.70%,$16 ,,8.80%,0%,,57,54,2%,1,45%,52%,0.029,7.2M,38.70%,Africa,$0B,$0B,12/1/2001
2.70%,,4334,Below Threshold,"$3,078 ",1.5-3%,50,Friendly,Botswana,,,1868,$0 ,$5B,5.20%,$175 ,,5.40%,3%,0.158,51,48,19%,1,38%,59%,0.03,1.8M,54.10%,Africa,$0B,$0B,12/1/2001
4.60%,,997,Below Threshold,$235 ,Above 3%,51,Low,Burkina Faso,,,,$0 ,$3B,4.90%,$12 ,,9.50%,0%,,52,50,1%,1,47%,51%,0.027,11.9M,18.50%,Africa,$0B,$0B,12/1/2001
4.20%,,216,Below Threshold,$128 ,Above 3%,49,Low,Burundi,,,,$0 ,$1B,6.80%,$7 ,,8.90%,0%,0.168,50,47,1%,1,48%,49%,0.029,6.8M,8.50%,Africa,$0B,$0B,12/1/2001
4.10%,,3421,Below Threshold,$589 ,Above 3%,52,Low,Cameroon,,,6384,$0 ,$10B,4.70%,$27 ,,9.00%,0%,0.207,53,51,3%,1,45%,52%,0.034,16.4M,46.10%,Africa,$0B,$0B,12/1/2001
3.90%,,246,Below Threshold,$252 ,Above 3%,44,Low,Central African Republic,,,,$0 ,$1B,4.00%,$10 ,,11.30%,0%,0.207,45,42,0%,1,42%,54%,0.04,3.7M,37.70%,Africa,$0B,$0B,12/1/2001
5.10%,,172,Below Threshold,$198 ,Above 3%,47,Low,Chad,,,,$0 ,$2B,6.00%,$12 ,,10.50%,0%,0.207,48,46,0%,1,49%,48%,0.028,8.6M,21.70%,Africa,$0B,$0B,12/1/2001
3.90%,,88,Below Threshold,$406 ,Above 3%,59,Low,Comoros,,,,$0 ,$0B,2.80%,$11 ,,7.30%,0%,0.12,60,57,,1,41%,56%,0.031,0.5M,28.00%,Africa,$0B,,12/1/2001
4.70%,,1566,Below Threshold,$154 ,Above 3%,47,Low,"Congo, Dem. Rep.",,,17242,$0 ,$7B,4.30%,$6 ,,11.40%,0%,,48,45,0%,1,46%,51%,0.028,48.2M,35.60%,Africa,,,12/1/2001
